road_class,road_class_code,road_class_name,road_class_sort,road,road_number,road_name,road_sort,section,section_label,section_start_date,section_end_date,section_length,section_function,section_function_code,section_function_name,section_function_sort,operational_area,operational_area_code,operational_area_name,operational_area_sort,data_key,direction_key,direction_code,direction_name,direction_sort,permanent_lanes,single_or_dual,single_or_dual_code,single_or_dual_name,single_or_dual_sort,environment,environment_code,environment_name,environment_sort,local_authority,local_authority_code,local_authority_name,local_authority_sort,plan_reference,start_chainage,end_chainage
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389421,0500A47/870,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,160.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,49,S2W,Two Way Single Carriageway,20,8,R,Rural,10,54,0500,Cambridgeshire,1600,A47/16,0,160
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389423,0500A47/405,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,231.000,4,OB,Ox Bow Lay-by,40,6,A06,Area 6,60,10,4,WB,West,40,1.000000,50,S1W,One Way Single Carriageway,30,8,R,Rural,10,54,0500,Cambridgeshire,1600,A47/03,0,231
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389424,0500A47/397,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,237.000,4,OB,Ox Bow Lay-by,40,6,A06,Area 6,60,10,3,EB,East,30,1.000000,50,S1W,One Way Single Carriageway,30,8,R,Rural,10,54,0500,Cambridgeshire,1600,A47/03,0,237
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389425,0500A47/393,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,229.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,4,WB,West,40,2.000000,51,DUALF,Dual Carriageway (Not Nominated),10,8,R,Rural,10,54,0500,Cambridgeshire,1600,A47/03,0,229
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389426,0500A47/389,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,230.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,1612,DUALT,Dual Carriageway (Nominated),8,8,R,Rural,10,54,0500,Cambridgeshire,1600,A47/03,0,230
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389370,2600A47/633,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,1807.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,4,WB,West,40,2.000000,51,DUALF,Dual Carriageway (Not Nominated),10,8,R,Rural,10,60,2600,Norfolk,6900,A47/47,0,1807
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389430,2600A47/493,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,494.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,1612,DUALT,Dual Carriageway (Nominated),8,8,R,Rural,10,60,2600,Norfolk,6900,A47/40,0,494
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389431,2600A47/506,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,1338.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,1612,DUALT,Dual Carriageway (Nominated),8,8,R,Rural,10,60,2600,Norfolk,6900,A47/41,0,1338
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389432,2600A47/520,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,720.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,1612,DUALT,Dual Carriageway (Nominated),8,8,R,Rural,10,60,2600,Norfolk,6900,A47/41,0,720
3,A,A,30,25,A47,A47 Nuneaton - Gt Yarmouth,30047,389433,2600A47/529,01-Jan-1900 00:00:00,01-Jan-3000 00:00:00,639.000,1,MAIN,Main Carriageway,10,6,A06,Area 6,60,10,3,EB,East,30,2.000000,1612,DUALT,Dual Carriageway (Nominated),8,8,R,Rural,10,60,2600,Norfolk,6900,A47/42,0,639
